Name	Set	ImageFile	Color	Cost	Type	Class	Subclass	Power	Level	Limit	Restriction	Timing	Guard	Text	Eff1	Eff2	Eff3	Burst	Flavor	Rarity	Sound
Miko of the Full Moon Tamayorihime	WXD01_White_Hope	wd01-001,LRIGback	White	3W	LRIG	Tama			4	11					[Continuous] - : As long "Armor and Helmet Romail" is in play, all of your SIGNI gain +2000 power.				Illust クロサワテツ (That spear is a mass of wishes.)	-	lrig
Miko of the Gibbous Moon Tamayorihime	WXD01_White_Hope	WD01-002,LRIGback	White	2W	LRIG	Tama			3	8									Illust クロサワテツ	-	lrig
Miko of the Half Moon Tamayorihime	WXD01_White_Hope	WD01-003,LRIGback	White	1W	LRIG	Tama			2	5									Illust クロサワテツ	-	lrig
Miko of the Crescent Moon Tamayorihime	WXD01_White_Hope	WD01-004,LRIGback	White	0W	LRIG	Tama			1	2									Illust クロサワテツ	-	lrig
Miko of the New Moon Tamayorihime	WXD01_White_Hope	WD01-005,LRIGback	White	0W	LRIG	Tama			0	0									Illust POP (Batoru! ~Tama~)	-	lrig
Rococo Boundary	WXD01_White_Hope	WD01-006,LRIGback	White	3W 2C	Arts						Tama	[Main Phase]		Return up to two of the opponents' SIGNI to their hand. 					Illust クロサワテツ (Bye bye! ~Tama~)	-	arts
Eibon	WXD01_White_Hope	WD01-007,LRIGback	White	3W	Arts							[Main Phase]		Search your deck for up to two white SIGNI. Show them and add them to your hand. Shuffle your deck afterwards.					Illust クロサワテツ (munyamunyamunya~ ~Tama~)	-	arts
Baroque Defense	WXD01_White_Hope	WD01-008,LRIGback	White	2W	Arts							[Attack Phase]		One LRIG or one SIGNI belonging to the opponent are unable to attack until the end of the turn.					Illust クロサワテツ (Stop! ~Tama~)	-	arts
Armor Suit Romail	WXD01_White_Hope	WD01-009	White		SIGNI	Spirit Military Arts	Arms	12000	4		Tama				[Continuous] - : All of your SIGNI gain +1000 power while it is your opponents turn.			Return one SIGNI to the opponent's hand.	Illust 甲冑 (I won't let you pass... ~Romail~)	-	signi_shield
Greatsword Caliburn	WXD01_White_Hope	WD01-010	White		SIGNI	Spirit Military Arts	Arms	10000	3										Illust ベーコン (Now, let us have an honourable fight! ~Caliburn~)	-	signi_sword
Gauntlet Trett	WXD01_White_Hope	WD01-011	White		SIGNI	Spirit Military Arts	Arms	7000	3		Tama				[On Play] - [W]: Search your deck for one "Armor and Helmet Romail", show it, and add it to your hand. Shuffle your deck.			Draw 1 card.	Illust みさ (C'mon, Romail! ~Trett~)	-	signi_shield
Medium Sword Flamvell	WXD01_White_Hope	WD01-012	White		SIGNI	Spirit Military Arts	Arms	7000	2										Illust 村上ヒサシ (Be reeled in by my cuteness! Argh! ~Flamvell~)	-	signi_sword
Shortsword Kukri	WXD01_White_Hope	WD01-013	White		SIGNI	Spirit Military Arts	Arms	3000	1										Illust 松本エイト (I'll cut you in two with one strike! ...Not like I can do that. ~Kukri~)	-	signi_sword
Short Bow Bownia	WXD01_White_Hope	WD01-014	White		SIGNI	Spirit Military Arts	Arms	1000	1		Tama				[On Play] - : Look at the top three cards of your deck and rearrange in any order you like.				Illust bomi (One arrow, two arrows, three arrows. Now these won't break! ~Vonia~)	-	signi_bow
Get Bible	WXD01_White_Hope	WD01-015	White	1W	Spell									Search your deck for one SIGNI. Show it and add it to your hand. Shuffle your deck afterwards.					Illust かにかま (Found it!)	-	spell
